                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2504,                 1.3034,                 1.2433,                0.95972,                0.89672,                 0.9477,                0.62182,                 1.2505,                0.73076,                 1.2651,             0.00066616,             0.00066616,             0.00066616
                      2,                 1.2356,                0.71984,                 1.2479,                0.95752,                0.90351,                0.95363,                0.62509,                  1.251,                0.67964,                 1.2831,              0.0012009,              0.0012009,              0.0012009
                      3,                 1.2125,                0.66706,                 1.2382,                0.95004,                0.90753,                0.95444,                0.62693,                 1.2262,                0.64167,                  1.268,              0.0016036,              0.0016036,              0.0016036
                      4,                 1.1783,                0.60952,                 1.2208,                 0.9506,                0.92247,                 0.9562,                0.64634,                 1.1852,                0.60201,                 1.2677,               0.001406,               0.001406,               0.001406
